date,rating,review
"Mar 8, 2021",5.0,"Great Company to work for  Great salary Good Benefits Cares about their employees Promotion scales are tricky to navigate Can be locked into career path, little room to broaden"
"Dec 5, 2021",5.0,"Amazing Corporation Great Benefits, Amazing people, Simple WorkI personally dont have any"
"Dec 2, 2021",5.0,Good company with an exciting future Good coworkers. A lot of opportunities to learn. Exciting growth potential for company.The bureaucracy can be frustrating to deal with sometimes
"Dec 2, 2021",5.0,Working together like a family Great people and great teamNothing nothing nothing to complain
"Dec 3, 2021",5.0,"Great place to work Good people, good work, good pay honest work.None really this place is pretty cool."
"Dec 3, 2021",5.0,Great! Great pay on commission checksHours and sometimes co workers
"Dec 1, 2021",5.0,great greay company to work for and have funNo bad things to same about this company
"Dec 1, 2021",5.0,Excellent! Great experience at Ford Dearborn.none to mention at Ford.
"Nov 29, 2021",5.0,"Great Company, excellent place to work Good career opportunities with outstanding worklife balance.I can not mention anything at the momment."
"Nov 25, 2021",5.0,Great Company Great culture! Management really cares.There are no cons. Great place
"Nov 22, 2021",5.0,"Great Workplace Very kind, teamoriented, and the program is wellrounded. Lots of experience for FCGs.Rigorous, but expected of any leadership program."
"Nov 21, 2021",5.0,Ford Incredibly generous benefits packageGood hoursOvertimeFriendlyHonestDon’t have any cons to list
"Dec 6, 2021",3.0,engineer many things and skills to learn. Many knowledgeable people in their fields.not much growth opportunity. It's a big organization and you might get lost.
"Dec 3, 2021",4.0,Good Company Huge employee discounts on all new vehiclesPoor implementation of trim levels. Very confusing too remember product knowledge. Products are typically 510% more expensive than imports.
"Nov 18, 2021",5.0,Great place to work Work life balance is greatLower pay compared to other automotive companies
"Nov 19, 2021",5.0,Great place to work great vacation and holiday benefitslong hours when production is needed
"Dec 3, 2021",4.0,Company changing courses Flexible worklife balance Investing in BEV and infotainment Open to DiversityMidPayerCareer paths are stalled due to sizeTrying to eliminate bureaucracy issues
"Dec 3, 2021",4.0,"Decent employer Competitive union wage, great health benefits, decent pto.Hours worked are never consistent, it's either unexpected time off or 1020 hours of overtime. You will very rarely see a constant 40 hour week."
"Dec 1, 2021",3.0,Laid back job but slow to innovate Great work life balance. Plenty of time off.Company is slow to innovate and often times coworkers do the least possible to stay employed.
"Nov 30, 2021",4.0,Pay raise Healthcare benefit and dental plan is top notch.Pay raise froze for four years and NO Pension.
"Dec 1, 2021",3.0,"Cool job, low pay cool job, culture is goodpay is low, little incentive to work hard"
"Nov 16, 2021",5.0,Bureaucratic but great overall Relaxed work culture in R&AGood benefitsCompetitive salaryManagement cares about employees and MI and USAGood work life balanceBureaucratic so things can move slow
"Nov 30, 2021",4.0,"Great company but still transforming to tech Great company with work life balanceIt is not a tech company yet, still has ways to go"
"Nov 14, 2021",5.0,great company Great products and fun people to work withslow advancements up the corporate chain
"Nov 29, 2021",4.0,"Great company to work for  Collaboration is encouraged Laid back work environment Room to grow and advance in the company Being a large company, the processes can feel slow as compared to a start up While Ford is catching up, you may not work with the most cutting edge tech and software (depending on your project)"
"Nov 28, 2021",3.0,"3 Star Ford UAW and Salary + Benefits +All year work10 hour shifts, 2 hour commute, Rude Upper Management,"
"Nov 14, 2021",5.0,"a great place to work Great Place to work, nice peoplethere really isn't a down side"
"Nov 12, 2021",5.0,"Overall good company to work for Good benefits, fair pay. Generous paid time off with vacation and holidaysCompany operates in silos. Poor performance is not always addressed."
"Nov 26, 2021",3.0,"Field Experience Working with the dealership network as a frontline employee representing Corporate, decent starting salary  depending on your assigned territory (zone managers in LA/ Seattle make the same salary as those in Detroit), necessary to get field experience if you want to have a career in the marketing, sales & service department at Ford.Noncompetitive pay in certain markets, forced to do both sales & service even if your career desire is to be in marketing, the culture of your team can be very cutthroat depending on leadership, you are 1 of a million employees and your voice doesn't really matter to the company"
"Nov 10, 2021",5.0,"Great company benefit great, upper management greatlife and work balance need improvement"
