,Date,Rating,ReviewText
0,"February 18, 2020",5,amazing work place great place to work the tech and management is extremely helpful and friendly. everyone seeks to help others succeed and working here has helped me out over and beyond.
1,"November 30, 2021",4,Very laid back and nice culture My team specifically was very calm and chill to work with. If you wanted to work on a specific feature/area they were very open to the interns to work on that area. Very nice culture and felt very inclusive.
2,"November 30, 2021",4,Great pay and decent benefits  Challenging environment but with hard work you can succeed.  There are a lot of hours scheduled for work.  You can make a ton if money but you will spend many hours in the plant.  
3,"November 30, 2021",3,It pays the bills The job would be a lot better if it wasn't so mismanaged. You're just put wherever there's a hole with little to no training. Like most places You're just a number and are replaceable. I wouldn't recommend working here. 
4,"November 29, 2021",3,"Factory Learning Experience Learned a lot about the auto manufacturing process, team development, safety practices, skilled trades roles, and time management in a manufacturing setting."
5,"November 28, 2021",4,"Pay and vaction, holidays off medical coverage was the best ever and my retirement is even better 21 years glad I did it. Ford changed my life and allowed me to provide for my family. It's a great place work if you focus making the money and not letting rhe money make you. There were a lot of people, myself included that got caught up in the drug, drinking culture.  My first 10 years I partied, my 2nd 10 years I went back to school and completed my undergraduate degree and later finishd my masters after retirement. "
6,"November 27, 2021",4,Great pay and paid Holidays The pay is great but the hours are long. If you’re able to do physical work for up to 12 hours it is a great place to work. Medical Insurance is paid for by the company. 
7,"November 26, 2021",1,Terrible place to work. They don’t care about you.  This place is terrible . They make you a temp and will just throw you anywhere move u around to any shift . Could care less about ur home life . Treat u and talk to u like garbage . Everyone is high . The workers smoke and drink on the job. It’s a joke. 
8,"November 26, 2021",3,"Depends on the department  Can be a great company to work for depending on the department you’re in. When I started it was great, but things went down hill after multiple reorganizations causing instability and lack of security. "
9,"November 20, 2021",2,"Overall good place to work Work life balance, vacation, remotes work are some of the pros at Ford. Like most Automobile companies, there is cyclical downturn in sales which may result in lay offs. So expect to see a few over the course of your career"
10,"November 18, 2021",2,Great people terrible management Management makes this job so much harder than what it needs to be actually hated having to go in every day and see these people. Great company to work for great benefits but management is terrible one minute they’re acting like they’re your best friend next minute they’re plunging a knife into your back
11,"November 13, 2021",5,I felt like family with other employees. Everyone was more than helpful. Never felt intimidated by Management. Felt very comfortable talking with and working for/with upper management.  Very supportive by peers.Office equipment readily available. Continuous Training available to employees to enhance their performance.
12,"November 12, 2021",5,Excellent experience if you’re willing to put the work in Working here you get what you put in. The opportunities are endless but you must be willing to exert the effort and hone your own skills. Turnover rate is very high likely due to competitive pay and the schedule. 
13,"November 11, 2021",4,A big company I worked as a sales man. The pay was good. I was able to drive diferent types of Fords through out the years. I like the customers too. I would stay if I could.
14,"November 10, 2021",2,Forklift driver Can not recommend this place. The pay is low and the union does not care about you and is only there to keep ur pay low as a temp.  The team leader we’re very rude and not helpful. You will eventually get injured doing the work there and you will be treated like your not hurt and told to just go back to work or be fired for refusing to work.
15,"November 10, 2021",3,The people are very nice.  The people were very nice but it’s easy to get lost. Also the managers are very tenured and they need to bring some new life in. WhileExperience has an advantage you need to be able to look at things through fresh eyes. 
16,"November 10, 2021",5,Always Learning I have really enjoyed working at Ford. I've been in a few departments and always found the work enjoyable and I feel like I'm constantly learning new things. I also enjoy the people that I work with. They've made me feel included and helped me succeed. Overall I would recommend working here.
17,"November 7, 2021",3,"For people with roots in Michigan Company needs to evolve faster in comparison to adjacent industries and job functions, particularly outside of product development.  Great people who tend to get disenfranchised by the ""Ford"" way.  Probably as good as other opportunities in Michigan though, so ends up being viewed as a 9-to-5 type of company and career."
18,"November 4, 2021",1,"Zero Integrity Not a good place to work if you value honesty and integrity, management will turn on you and take you out. Look at history, they do this to the workforce about once or twice a decade since the 80s. Repeating the same game to reduce salaried costs."
19,"November 4, 2021",4,"Diversity ,  union, but hard to get a job there  I was an independent outsourced employee.  I grew toovr my my job incredibly . I did have several supervisors who were a little rough around the edges. I also made a new family.  As my job ended its contract I did enter the lottery to have a chance for permanent employment. If there was a different policy on how to become hired. What stands out the most to for me is the thst Fird wasn't just a job, it was community, diversity, and inclusion.  A way if life fir the folks. And to be a part of something that mattered was important to me.The people were incredible. "
20,"November 2, 2021",1,Worse place to work  Management is very disrespectful to the employees. They do not like to see you succeed within the company In fact they do everything to hold you back. I would not recommend working in the Ford in Plainfield. The turnover rate is very high most ppl leave within the first week! Also NO BREAKS….. they will tell you it’s a free work environment but if you try to take a break you will get told to get back to work! So expect to work 9 hours a day and every 2 Saturdays. 
21,"February 18, 2020",5,amazing work place great place to work the tech and management is extremely helpful and friendly. everyone seeks to help others succeed and working here has helped me out over and beyond.
22,"November 1, 2021",5,Solid Internship I interned as an STA Site Engineer and learned a lot about manufacturing. My supervisor was very supportive and the pay was decent for an internship. 
23,"November 1, 2021",3,It's not as easy as people think Starting pay is low for the tedious tasks and stress compared to other places. If you can stick it out for a few years you'll be hired in full time and get the perks that most people want. 
24,"October 31, 2021",3,Very poor taining If you don't have specific experience with Ford payroll and programs job is extremely challenging. Very unprofessional due to lack of employees. Extremely high turnover. Better hit the ground running a d don't stop for breaks or lunches are non existent. Yelling and berating all day.
25,"October 30, 2021",5,Great employer Ford Motor Company is a place I take great pride in working at. The history of Henry Ford is amazing. The Ford family is extremely generous and gives back to the community.I'm proud to work at Ford Motor Company
26,"October 29, 2021",4,Manufacturing  Ford’s best quality is definitely its benefits. There are many departments so it’s somewhat easy to find a job that is manageable for everyone. Union. 
27,"October 25, 2021",5,Solid place to work Good job security at Ford. Very adaptable for any of your needs if you need to take time off for being sick or to just work from home when important things come up like maintenance coming to your place to fix things. Downsides are that yearly bonuses are based overall on company performance which has been underwhelming the past few years. Can be misused as an employee and be stuck doing something you may not have the qualifications for. 
28,"October 23, 2021",1,"Underpaid, bad management  They don’t pay you anywhere near enough to make a living wage especially when you’re working short weeks or laid off most of the time. Supervisors have no clue what they are doing, "
29,"October 22, 2021",3,Would not recommend  If you enjoy being physically exhausted and overworked this job is perfect for you. Co workers barely do any work. Three days to learn all connections and jobs or you're fired. Supervisors show favoritism and overall not a good environment to work. Pay is okay 
30,"October 19, 2021",5,"Ford Motor Company Overall, Ford is a great place to work. You can learn a lot and everyone treats you like a part of the family. Get to work with so many different parts of the company. "
31,"October 19, 2021",3,It's auto sales Working as a car salesman you have no social life outside work. Pay is good if you work really hard and put in some serious hours. It's perfect for younger kids looking to make a good income and have no established family. 
32,"October 19, 2021",3," Ford Motor Company (MAP)  Long hours, long days, lots of layoffs, great benefits once permanent. Do not have to pay for benefits. College reimbursement offered. Bonuses good. Pay is moderate not great. Stressful work environment physically and risks with Covid. Team leads are great. Supervisors are horrible. Union reps are great. "
33,"October 17, 2021",3,"Decent pay, terrible shift hours, terrible management. Decent company to work for if you want to be another number for a company. Decent starting pay with potential to reach pretty good pay after a few years. Management is terrible and company is understaffed."
34,"October 17, 2021",3,"Good Place but not for long haul This company used to be amazing for building a career, but all the changes made in recent years makes it hard to promote and go up. The benefits are only thing worth while. "
35,"October 15, 2021",5,Good place to work  Ford is a good place to work and invest your skills as a skilled trades person.  If you want to work there is plenty of overtime available if not at your home area you can work at other locations within the Rouge complex.
36,"October 13, 2021",2,"If you want to work, the job is great Ford is a family based company. You never know who is some kin to who. So watch what you say do your assign work, take your breaks, come back on time so the next person can take theirs. Don’t get caught in someone else’s area and your job isn’t complete, or you’re not on a break, communicate with your supervisor at all times and you shouldn’t have any problems."
37,"October 13, 2021",4,"Needs to move faster, improve warranty & cut material costs The overall outlook should be very positive.  Quality and warranty costs are public knowledge - warranty drags down profit.  Ford is moving toward electric vehicles while riding on Internal Combustion Engine (ICE) legacy profits.  Design and launch times need to be reduced.  Customers like the product line-up and there is demand.  Costs need to be reduced to achieve market level sustainable profit margins.  Upper Management is aware of what needs to happen - it comes down to execution at the tactical level."
