,Date,Stars,Review
0, 4 days ago,5,Just wanted to show off my car. I am so happy that I got this car even though ford's be having mental breakdowns sometimes. But she is a beauty. My 2018 ford fusion. I love that it runs both electric and gas.
1, 4 days ago,5,I have a 2020 Ford fusion hybrid. And I came across these cute covers for the Chi fives off of Amazon. And I absolutely love how it looks. I love the bling out my car and my accessories. And thanks Amazon I found this amazing key fob caseAmazon Prime ￼
2, 10 days ago,5,My Ford F-150 fx4 not only a comfortable ride but all the safety features work exactly as stated when someone hit us. Ford crew cab trucks are great if you travel with dogs with the seats folded up there’s plenty of room for everyone.
3, 11 days ago,5,I love Ford's wide range of vehicles from the sedan to a workhorse truck ( F-150 ) and Ford keeps on adding touches of elegance here and there in every vehicle. Henry Ford Himself Would Be Very Proud Today. 
4, 11 days ago,3,This was my first car I bought when I was 18! It gave me trouble ever since the first month. I needed a transmission so I had to get rid of it! I got it for real cheap and regretted it! I will never get a Ford ever again!
5,24 days ago,5,"We are a family of Ford truck owners! We have 2 Ford F-150 trucks & I refuse to purchase anything but Ford. This is good quality & American made. These trucks have NEVER given us any issues.  So, why would we go with anything else? LOVE Ford vehicles! Always will repurchase!"
6, 2 months ago,5,"Always owned ford's my whole life. Started off with a mustang, now with a brand new 150. Love them keeps my family safe."
7, 2 months ago,5,Had a 97 Expedition that we loved! We had it for almost 20 yrs. we bought it used. Took us on a few trips from Chicago to Florida. So much room! We called it the couch. It was a very smooth ride. We could never afford a new one but if we ever could we’d get another one in a heartbeat.
8, 3 months ago,5,"Dear Ford: PLEASE re manufacture cars like the 2008 Ford Focus SE. I just sold it to a mechanic who can keep up the maintenance on it more than me and she was just at 207,000 miles. I drove her off the lot with only 26 miles and I know I’ll never have a car like her again. This car and I went cross country more times than I can count, and she went to Canada multiple times too. I loved this car. Period."
9, 3 months ago,5,"I have a 1999 Ford F-150 4 wheel drive truck that I would not trade for anything. Well, my dream car and is a Ford Mustang convertible it has been a dream car to me since I was a kids and one day I hope I will have that dream come true, "
