,Date,Stars,Review
0, 10 days ago,5,"I have a 2009 Yaris that I purchased used and it was the best decision I ever made. It is compact which is perfect for me as I am 5'2"" and have to sit to close to the stealing wheel in other cars. All my friends are jealous of the gas mileage that I get and in the two years I have had it the only maintenance it has required is oil changes. I surprised that it had a designated 12volt outlet as well as an aux cord which have made my 30 minute commutes much more enjoyable. Perfect for city driving. So disappointed that Toyota is discontinuing this model."
1,21 days ago,5,2021 Toyota RAV4 hybrid is amazing. I feel so safe when I drive this car. I drive long long hours for work and I’m comfortable and feel like I can see the road really easily in this. I switched from a Toyota Camry hybrid and couldn’t be happier! The steering wheel on this car is really smooth to use. There’s a great grip in the middle bottom for driving. The seats are also extremely comfortable. I love the display for Apple CarPlay as well. I couldn’t be happier with my purchase of the Toyota RAV4 hybrid highly recommend!Also great on gas.￼
2, 25 days ago,5,I am so in love with my new Toyota RAV4 premium. The blizzard pearl goes great with the nutmeg interior leather. You can’t beat the gas mileage! I am currently getting 32 mpg. The size is perfect for me and my family.
3,2 months ago,5,"By far the best SUV I've ever owned! I bought it used with barely over 20k miles on it and am just now getting to 50k miles, and I still love it! The trade-in/resale value is still at the amount I originally paid for it, so that's awesome! It's just a reliable, good quality, all around great vehicle!"
4, 2 months ago,5,Have a Corolla and it held up with little to no pricey maintenance.  I enjoy cars that last and don't break down easily.   I plan to drive it until it dies.
5, 2 months ago,5,"This car is amazing. I love it so much. We bought it a year ago and I still think it is the best car for its price and quality. It takes 6.6L/100 km. Has a 3D camera, many different sensors. More than enough space for a family with 2 small kids."
6, 3 months ago,5,"My 1st car was a used 1977 Corolla. I loved it and drove the crap out of it. Never had a problem! Now we have a 1997 4runner. We have taken it cross country twice in the last 3 years. Never a problem! Absolutely love it! We are sitting at 290,00 miles and it still runs like a new car!"
7, 3 months ago,5,"I love my Toyota Rav 4! Perfect size for my little family, plenty of space in the back for my toddler’s growing legs. Amazing amount of cargo space to haul even larger stuff than usual (I.e. wheelbarrow or dishwasher). Gets great gas mileage for an SUV. All around I would definitely recommend!"
8, 4 months ago,5,"This company had taken such great care of me and my family over the years. For starters my family hasn't bought another new vehicle besides Toyota since the eighties. They have been so reliable. The Toyota that I am referring to had 350,000 original miles on it before we sold it. All we had to do is make sure that we kept up on the oil changes and the rest of the regular maintenance. I will forever sing Toyota's praises. 
On to newer times. Today I had to go buy a new car. As many know this is not a fun event. This dealership made this as painless as possible. Not only did they give us the lowest market value price and trust me I looked everywhere. It's a certified used 2020 Camry with and 15,000 mi on it. All of their certified used vehicles come with a 100k MI powertrain or a 12,000 MI bumper to bumper warranty. They also included a free remote start. There wasn't a lot of hassling. We let them know that we were going to be using our own finance company and they didn't continue to try to barter with us to use their finance company because they know that we would get a better deal with our own. I will forever be grateful for how a humane today's events were. For how human they made us feel and not like another dollar sign."
9, 4 months ago,5,"It has been since the 90's since I have driven a Camary, but I loved it then and I still love the look of them now."
