date,rating,review
2008-06-11,2.0,"Will We Still Be Around? Only thing left is the heath care and that too is slowly getting worse.Well we be here in 4 years? Health care slowly being taken away. retirement may not be pssable in just a few years. Management has begun taking out there anger on the hourly work force. Talking between the hourly work force and mangement has stopped. Ideas that might save money or the company are not taken to the upper management or are changed to make them seem like bad ideas. Cost cutting programs are started even when it costs more money then the old way. Safty at some buildings for hour work force has been ignored. Some managements ideas on safty are simple as this statement ""We might if the problem if some one get hurt."""
2008-06-12,5.0,short a good company that has treated me fairlytough industry in a tough part of the country
2008-06-12,4.0,"Ford needs to act like a smaller company, not just be one. Ford is a great place to work for good worklife balance.  There is also a high level of diversity amongst employees, and people from all different cultures work here.  Most people are friendly and welcoming.  Everyone makes you feel like you're welcome and wanted, even if its fake at times.There's way too much red tape in the process.  The company is full of bureaucracy.  The worst problem is that higher management does not know what it is doing.  Every 12 years, there tends to be a new mantra for higher management.  Everyone moves in that direction, then two years later, its gone  discarded  kaput!  Then, a new manager comes in; with a new mantra.  There's a lot of ""waste"" (i.e. TPS muda) in every process."
2008-06-12,4.0,"How an hourly Ford worker see the company The pay and benefits, even though they are shinking, are still the best around.   Ford also provides a great opportunity to work in a diverse work environment.  The concept of working as a team is also stressed to the the continuous build process.  If the first person does the job wrong, the next will have problems.Some of the downsides are that performance has little effect on the way you are viewed and advanced.  Senority is key.  The work on the body is strenuous and wears it down.  Employees are also given too many opportunities to keep their jobs.  The company and union need to work together to keep the strongest work force, not just a high number of employees."
2008-06-12,4.0,"Good company to work for when the auto industry is doing well There are a lot of opportunities to expand you knowledge to different areas of the business.  Work/life balance is the best of any company I have worked for.  The benefits used to be top notch, but have been reduced in recent years.  Still better than most other companies.Poor senior management communication.  Ford needs to change with the times and it is business as usual from decades past. The constant turmoil of the automotive industry puts a lot of strain on the employees."
2008-06-12,4.0,"An executive with high integrity who is perceived as being honest in communications Employees passionate for the auto business.  There is a new focus on accountability in the Company with and honest recognition that the old ways of doing business will not win the war.  The Company appears to be less wed to the historical Ford legacy which is slower to evolve and address the changing industry.  Over time, Ford will become less of a family legacy business, to a results driven business that doesn't mute strong leadership and drives differentiation from the competitors.  Product design is starting to take a stronger role in the Company, but still a long way from being an industry leader.Too much ""Detroit think"".  Difficult to attract up and coming mid level talent during a time when the industry is in such turmoil."
2008-06-12,3.0,"The jury is still out Great products and very good people to work with.  Ford hires strong people, who have a passion for the automotive industry.Ford needs to get out of the continuous downsize mode.  The product plan has been tilted toward trucks and SUV's, and there has been a market shift toward cars.  Also, Ford needs to act as a more global company, and take advantage of great products that we make around the world."
2008-06-13,4.0,"good review I like the working atmosphere here at Ford Motor Co including telecomutting, paid vacations, etc. I could have possibly well balance my life between my family and my career.Ford Motor Co's business is not diversified and therefore it's going through tough time aligning it's business which is only in auto manufacturing. I feel if  it had had well diversified it's business like GE, it wouldn't had to face this time lime especially during this economic down turn."
2008-06-13,2.0,"Things will get better but need to wait another 2-3 years...if you can.... Mgmt want to help salaried work force have a good worklife balance.  Optomistic about the future but things are very dififcult now.  Promotions are very difficlut to come by.  Overall good comapny that will make it through this difficutt period, just need to wait it out if you can.Pay and benefits are being reduced, unfair business environment relative to competition due to regulatory issues.  Need government support as other companies have to get competitive advantage back.  More work with less people."
2008-06-15,2.0,hope the best outcome structured company in engineer. smart employeebad/fat middle managment team. waste
