date,rating,review
2008-06-18,2.0,"Don't do it It's a steady paycheck and there are some really good people who work there.  If you are looking for a safe place to be, Toyota is it.  It's an organization that rewards politeness and being a ""good guy.""Very little infusion of new ideas.  Soldiers, not innovators, are promoted.  There are very few good managers of people, but a lot of people who are very good at managing up.  The Japanese parent company is a bureaucratic nightmare and can suck the life out of any simple request.  The eternal struggle will be manufacturing versus sales.  Lip service is given to production flexibility.  If they could all they would sell are Tundras and Sequoias.  We have to BEG to get more Priuses.  Personnel problems are, in a perfect world, swept under the rug.  It can take years for the company to build the courage to terminate anyone."
2008-09-22,3.0,A good place to to gain valuble experience in a manufacturing environment. It is a well recognized company that can really help a resume.  They are pioneers in justintime production and quality systems.  These are sought out by many employers.  You can be confident in job security there have been no layoffs at the Georgetown assembly plant since it opened in the late 80's.Very few opportunities for advancement within the company.  Many of the top leadership are from GM or other big 3 orginizations.  Management in most cases refuse to address poor performance within the saaried work ranks  work is split to the high performers.  Poor communication between parent company and US transplant making certain tasks frustrating
2008-09-30,3.0,"Not too bad. Supposed work/life balance.  You are generally not in fear of losing your job.Career advancement difficult, due to people staying in their jobs for years."
2008-10-03,3.0,"A fair place to be. Great experience about the car industry. Many great spiffs for selling alot in a month, great bonuses and great people to work with. Many people come and go but if you stay and make good with management you have a chance to get up, or catch a raise.Very difficult to get time off in the service department, difficult to move up or get a raise. Long hours, sometimes you need to work on Saturdays or holidays. Holidays are not overtime pay. Very high pressure to sell service work, you are questioned about why your performance may be low for the month."
2008-10-16,2.0,"High expectations, mediocre rewards. Stability and very good company reputation.Extremely demanding of employees.  If you are in favor with management, the upside potential is tremendous.  If you fall out of favor, it's a very long road back.  The rewards are not in line with the expectations."
2008-10-23,3.0,"An Over rated Place to Work! Looks good on resume! Learn how to problem solve. You get a decent discount on cars. Get to work on big projects involving lots of cost. Get to see just in time production. Learn how to visual presentations to cater to an international atmosphere. Lots of opportunities to travel with go and see.Japanese Mindset. Location and growth are poor. They treat you like robots. They don't want you to anything at work that isnt work related, even if it helps get you though the day. As cost saving inititative haulted all travel and forbid worker from listening to music while at work."
2008-11-20,5.0,"Toyota is a great place to work for. It is a company that understand employees, and believed in continious improvement. The salary and the benefits are excellent!!! And everybody has the opportunity to advance with the company.The is some supervisors (OL) that do not have the full knowledge of how the system work. Sometime we ask them a question and they take weeks sometimes months to come with the answer."
2008-12-27,2.0,"TEMA has some serious culture issues it needs to fix. The car industry is an exciting place to work  and Toyota arguably is one of the best at it.  Toyota invented the JIT system, and you get to learn it from the experts.  Looks great on a resume  and you get a pretty good discount on Lexus/Toyota/Scion cars as well.  The daily work can be really interesting  depending on your manager, and the specific role you walk into.  Best thing to do is work here for 12 years, then leverage this into a better opportunity elsewhere.Culture.  Management is severely disconnected, pay is barely adequate, hours are long, etc."
2009-01-04,1.0,"Not the best place to work Pay, Job Security, safe work locationHours, expectations, lack of accountability, week management control of suppliers"
2009-01-07,4.0,"Toyota is a good, fair employer. It's a very good company that treats its employees well, and does its bet to be fair in all situations.  The company has high moral standards and its actions reflect that.Sometimes long hours, very competitive environment, high expectations from the company."
2009-01-07,2.0,"If you're looking value stability over opportunities for advancement, this is the company for you. TMMK is Toyota's largest North American plant and can be an excellent place to gain experience in high speed manufacturing.  The pay is often above average and Toyota is well respected global company.  Toyota is also known for being highly selective and just being hired by them is a plus on your resume.Few opportunities for advancement exist.   While I was there, they hired almost exclusively through temporary services and I personally worked with other temps who had be there for up to 7 years.  For nearly 3 years, they hired no one at all.  I can say with almost absolute certainty if you are hired as a temporary, you have almost no chance of becoming fulltime.  If you are able to survive the hiring process which includes working a minimum of 2 years as a temp with no benefits what so ever or days off other than plant shut downs to get hired, you'll have to start over at the bottom of the seniority ladder.  Keep in mind that vacation time is assigned by clock number and TMMK has over 6,000 employees.  In other words, you wouldn't get first pick of a day off for nearly a decade if then.TMMK's senior management seemed disconnected and on occasion unprofessional.  I can recall several meetings with senior management in which managers stopped the meeting to take cell phone callsoften personal ones.  Many long time employees lamented the departure of the Japanese management.  Most said the current management was out of touch and uncommunicative."
2009-01-15,4.0,kaizen Great product with plenty of room for growth in the future.The hours can be long and many.
2009-01-22,4.0,"Great Pay, Good Hours, Great upper Management, Great Company. Great satisfaction in your product.Great Pay and benefits.Toyota cares for their employees.Great Communication between upper management and Team Members.Location.At times, work life balance can be a concern."
